month,venue,cuisine,region,segment,revenue,orders,commission_rate,delivery_cost_order,ue_share,dd_share,sd_share,food_cost_ratio,labour_cost_ratio,demand_growth,net_profit,commission_ue,delivery_sd,profit_per_order,cost_to_revenue
2034-03-01,Harbour Bar,Café,City Centre,Fine Dining,134728.11125251948,3979,0.2517145740113866,2.897636765947829,0.18272615238424061,0.20258384719754496,0.6146900004182144,0.2626617104880237,0.2767725578731587,-0.005422755783160427,35692.96525702414,0.045994835608138836,1.7811483448723044,8.970335576030193,0.636422410768239
2033-06-01,Orbit Café,Café,East Auckland,Fine Dining,120770.18625185925,2420,0.22243415297801056,5.098239329338792,0.11719117531251406,0.2058865924106865,0.6769222322767995,0.25309929398523207,0.2331855684735355,-0.046193501295345225,35956.49228036799,0.026067319817136607,3.4511115474973884,14.858054661309085,0.5581483920683041
2039-11-01,Orbit Café,Asian,East Auckland,Fine Dining,51272.48149817855,1022,0.24283760193628048,4.024512990481385,0.1537606413882155,0.08376994805438102,0.7624694105574035,0.3169542758967841,0.2794907868613305,0.05031437472000079,12716.34847548783,0.03733886542689865,3.068568047632955,12.442611032766957,0.6541264214848659
2027-11-01,The Grill,Café,City Centre,Quick Service,212960.54140761355,4415,0.24801642111876904,5.443876072122581,0.12216496754589534,0.22338511739667988,0.6544499150574248,0.2860704818561778,0.19899023775762642,-0.022787436676081962,65487.29797457952,0.03029891803682353,3.5627442329837704,14.832910073517445,0.5707628149985483
2027-11-01,The Grill,Modern NZ,East Auckland,Casual Dining,63025.46972277779,1224,0.32070587735802963,7.0171293722477195,0.16829348438231773,0.2186875890950558,0.6130189265226265,0.31677568304486053,0.17492850767615337,0.16324322275222314,23081.58182131539,0.05397270956247106,4.301633115045688,18.85750148800277,0.6158112954115271
2044-11-01,Elliott Stables,Bar,City Centre,Fine Dining,52188.841328348215,1138,0.22325455528442226,2.830462222892872,0.2989994001463074,0.2206470305542208,0.48035356929947176,0.27105526230445487,0.23230839885414267,-0.07895917776487743,14478.588384974297,0.06675297810997287,1.3596226315339082,12.722836893650525,0.6193770939497814
2053-09-01,Harbour Bar,Bar,Central,Fine Dining,88061.65701336422,1900,0.32299890059460357,7.023885128971852,0.4193570787034746,0.06851763818467659,0.5121252831118488,0.24339210957226187,0.20491980893270229,-0.04276884818678839,24411.769860415687,0.13545187537778694,3.597109160219814,12.848299926534573,0.6058949156877405
2032-03-01,Orbit Café,Asian,City Centre,Fine Dining,56467.82593571692,1220,0.24815535437005587,6.963694820826053,0.288026609293019,0.16170971060353817,0.5502636801034428,0.3717913661778346,0.26424788835379726,-0.015916278198309028,6000.0,0.07147534529711476,3.831868339225029,4.918032786885246,0.7476437303686467
2051-12-01,Sky Lounge,Modern NZ,North Shore,Quick Service,124645.62242205841,3153,0.23244923531103776,6.559981708347466,0.31909634484467825,0.15225878301143242,0.5286448721438894,0.25516313696645915,0.2743250431585156,-0.028271254985769288,29941.541615621034,0.07417370134969266,3.467900691475599,9.496207299594365,0.639054319155064
2034-05-01,Harbour Bar,European,Central,Casual Dining,135315.36521999468,3474,0.2604019278936234,5.472072545183469,0.17065353806333938,0.07167787091079979,0.7576685910258608,0.25776022471464033,0.22143455641791931,-0.02129760648927532,42229.4713255893,0.04443851031356141,4.146017495300455,12.155863939432729,0.5422983472186036
2034-01-01,The Grill,Asian,Central,Quick Service,99699.74108000219,2953,0.24683892581805433,5.410806616060511,0.38020426723584755,0.10559198197420268,0.5142037507899497,0.2605165557114197,0.28627667313111604,0.09057237731590641,26704.076569167068,0.09384921291593708,2.7822570567773903,9.043033040693217,0.6667066531639843
2026-09-01,Elliott Stables,European,North Shore,Cocktail Bar,53918.08445060506,1240,0.22117957008882339,5.515669629650759,0.3162261179769541,0.1602406579495092,0.5235332240735366,0.37737871335905815,0.23189169082477273,0.005153140361418798,12213.136966046824,0.06994275682500026,2.8876363041355515,9.84930400487647,0.7146551208448537
2036-09-01,Orbit Café,Bar,East Auckland,Fine Dining,64530.06444361467,1847,0.26042869196737073,5.797725531697973,0.40244789021745364,0.23572657746452058,0.3618255323180258,0.32647243362379946,0.1952196511402206,0.07990633929487705,17148.304237316315,0.10480897763435947,2.097765126740428,9.28440944088593,0.6878910266294097
2038-12-01,Orbit Café,Asian,East Auckland,Cocktail Bar,112288.26614823741,3284,0.204288277292613,2.0906521032788636,0.4320950874520244,0.1092655192461658,0.4586393933018098,0.3254405932385391,0.22356681699475567,0.15146706274803573,35347.114445700645,0.08827196104217502,0.9588554122529707,10.76343314424502,0.6596010359697517
2043-11-01,Orbit Café,Café,City Centre,Cocktail Bar,55592.47889464382,1322,0.23630879088367457,7.269509185383574,0.2217652715148073,0.25743747753122787,0.5207972509539649,0.37813774821259416,0.16485033801238058,0.07666475903668253,14034.389468777721,0.05240508317165391,3.785940399532362,10.616028342494493,0.6562279084401762
2028-09-01,Orbit Café,Modern NZ,Central,Casual Dining,167183.20198173483,4418,0.2705264350998545,5.220820688060689,0.13170267048740378,0.18644957143486585,0.6818477580777303,0.2523814276984517,0.2645201508341988,0.10057852573445918,53687.92426609168,0.03562905394008816,3.5598048814800145,12.152087882773127,0.6029701703589085
